Symbol,Name,Exchange
000928.XSHE,SINOSTEEL ENGINEERING AND TECHNOLOGY,Shenzhen
000930.XSHE,COFCO BIOTECHNOLOGY,Shenzhen
000932.XSHE,HUNAN VALIN STEEL,Shenzhen
000933.XSHE,HENAN SHENHUO COAL & POWER,Shenzhen
000935.XSHE,SICHUAN HEXIE SHUANGMA,Shenzhen
000936.XSHE,JIANGSU HUAXICUN,Shenzhen
000937.XSHE,JIZHONG ENERGY RESOURCES,Shenzhen
000938.XSHE,UNISPLENDOUR CORP,Shenzhen
000948.XSHE,YUNNAN NANTIAN ELECTRONICS INFORMATION,Shenzhen
000949.XSHE,XINXIANG CHEMICAL FIBER,Shenzhen
000950.XSHE,C.Q. PHARMACEUTICAL HOLDING,Shenzhen
000951.XSHE,SINOTRUK JINAN TRUCK,Shenzhen
000957.XSHE,ZHONGTONG BUS,Shenzhen
000958.XSHE,SPIC INDUSTRY-FINANCE HOLDINGS,Shenzhen
000959.XSHE,BEIJING SHOUGANG,Shenzhen
000960.XSHE,YUNNAN TIN,Shenzhen
000962.XSHE,NINGXIA ORIENT TANTALUM INDUSTRY,Shenzhen
000963.XSHE,HUADONG MEDICINE,Shenzhen
000966.XSHE,CHN ENERGY CHANGYUAN ELECTRIC POWER,Shenzhen
000967.XSHE,INFORE ENVIRONMENT TECHNOLOGY GROUP,Shenzhen
000968.XSHE,SHANXI BLUE FLAME HOLDING,Shenzhen
000969.XSHE,ADVANCED TECHNOLOGY AND MATERIALS,Shenzhen
000970.XSHE,BEIJING ZHONG KE SAN HUAN HIGH-TECH,Shenzhen
000973.XSHE,FSPG HI-TECH,Shenzhen
000975.XSHE,SHANJIN INTERNATIONAL GOLD,Shenzhen
000977.XSHE,IEIT SYSTEMS,Shenzhen
000980.XSHE,ZOTYE AUTOMOBILE,Shenzhen
000981.XSHE,SENSTEED HI-TECH GROUP,Shenzhen
000983.XSHE,SHANXI COKING COAL ENERGY GROUP,Shenzhen
000987.XSHE,GUANGZHOU YUEXIU CAPITAL HOLDINGS GP,Shenzhen
000988.XSHE,HUAGONG TECH,Shenzhen
000989.XSHE,JIUZHITANG,Shenzhen
000990.XSHE,CHENGZHI,Shenzhen
000993.XSHE,FUJIAN MINDONG ELECTRIC POWER GROUP,Shenzhen
000997.XSHE,NEWLAND DIGITAL TECHNOLOGY,Shenzhen
000998.XSHE,YUAN LONGPING HIGH-TECH AGRICULTURE,Shenzhen
000999.XSHE,CHINA RES SANJIU MEDICAL AND PHARMA,Shenzhen
001203.XSHE,DAZHONG MINING,Shenzhen
001208.XSHE,HUNAN VALIN WIRE&CABLE,Shenzhen
001212.XSHE,SINOSTONE(GUANGDONG),Shenzhen
001213.XSHE,CHINA RAILWAY SPECIAL CARGO LOGISTICS,Shenzhen
001221.XSHE,HIGOLD GROUP,Shenzhen
